City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Atikokan,CA,62.08,broken clouds,48.7555,-91.6216,Quetico Inn (formerly Radisson)
5,Sao Filipe,CV,78.08,overcast clouds,14.8961,-24.4956,Hotel Xaguate
7,Bubaque,GW,78.73,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
9,Albany,US,82.63,overcast clouds,42.6001,-73.9662,
10,Atuona,PF,78.28,light rain,-9.8,-139.0333,Villa Enata
12,Rikitea,PF,76.12,clear sky,-23.1203,-134.9692,People ThankYou
16,Victoria,HK,75.38,overcast clouds,22.2855,114.1577,Mini Central
23,Hithadhoo,MV,83.01,overcast clouds,-0.6,73.0833,Scoop Guest House
24,Beni,CD,63.25,light rain,0.5,29.4667,Albertine hotel
29,Carnarvon,AU,63.75,clear sky,-24.8667,113.6333,Hospitality Carnarvon
32,Anantapur,IN,84.25,broken clouds,14.6833,77.6,Hotel Gpr grand
33,Vao,NC,73.58,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
35,East London,ZA,61.88,scattered clouds,-33.0153,27.9116,Tu Casa
36,Jamestown,US,76.01,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
37,Ambon,ID,81.5,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
39,Filadelfia,US,70.52,moderate rain,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
42,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
43,Pangkalanbuun,ID,76.73,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
44,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Cidreira,BR,65.07,moderate rain,-30.1811,-50.2056,Hotel Castelo
50,Jalu,LY,73.56,clear sky,29.0331,21.5482,صاحبة الفخامة
51,Avarua,CK,73.45,moderate rain,-21.2078,-159.775,Paradise Inn
52,Karratha,AU,73.17,clear sky,-20.7377,116.8463,ibis Styles Karratha
53,Kapaa,US,80.92,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
54,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
56,Castro,BR,64.02,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
57,Hasaki,JP,61.2,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
58,Maracacume,BR,78.75,heavy intensity rain,-2.0428,-45.9592,Hotel Ramos
59,Meybod,IR,66.22,clear sky,32.2501,54.0166,Traditional Hotel Restaurant Haji Malek
60,Billings,US,66.29,broken clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
61,Toumodi,CI,76.39,broken clouds,6.5613,-5.0158,Hotel Akanza
63,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
64,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
65,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
66,Malanje,AO,67.44,clear sky,-9.5402,16.341,Hotel Ginga
68,Broome,US,78.67,broken clouds,42.2506,-75.833,Chenango Valley State Park
69,Karachi,PK,84.02,clear sky,24.9056,67.0822,Sadaat
72,Kanniyakumari,IN,78.91,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
76,Portland,US,66.79,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
78,Tura,IN,70.84,light rain,25.5198,90.2201,Hotel RIKMAN Continental
80,Tateyama,JP,63.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
81,Cheremnoye,RU,68.59,overcast clouds,53.1697,83.2133,
82,Pouembout,NC,71.1,broken clouds,-21.1333,164.9,Camping de Tipenga
86,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
88,Miandrivazo,MG,72.32,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
89,Sakakah,SA,81.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
91,Poughkeepsie,US,78.71,broken clouds,41.7004,-73.921,"Holiday Inn Express Poughkeepsie, an IHG Hotel"
93,Itarema,BR,80.06,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
99,Rocha,UY,61.0,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
100,Airai,TL,61.45,broken clouds,-8.9266,125.4092,
102,Farah,AF,63.0,clear sky,32.5,62.5,
103,Butaritari,KI,80.58,few clouds,3.0707,172.7902,Isles Sunset Lodge
106,Kiama,AU,68.45,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
107,Camacha,PT,65.62,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
112,Poum,NC,76.64,overcast clouds,-20.2333,164.0167,
114,Kirakira,SB,78.96,few clouds,-10.4544,161.9205,SanBiz Lodge
116,Coaldale,CA,60.48,broken clouds,49.7167,-112.6185,Station Grounds: A Manufactured Housing Community
117,Lasa,IT,63.48,few clouds,46.6166,10.7002,Pension Feldgärtenhof
118,Hambantota,LK,78.26,overcast clouds,6.1241,81.1185,Bungalow 63
124,Freeport,US,71.47,moderate rain,40.6576,-73.5832,The Freeport Inn and Marina
127,Oriximina,BR,82.24,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
130,Kulhudhuffushi,MV,80.73,light rain,6.6221,73.07,Haajy Guest House 1
134,Waingapu,ID,77.04,clear sky,-9.6567,120.2641,Pondok Wisata Elim
135,Marawi,PH,69.64,overcast clouds,7.9986,124.2928,Derogongan Residence
136,Arraial Do Cabo,BR,73.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
137,Bengkulu,ID,78.48,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
138,Kieta,PG,77.22,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
139,Hami,CN,64.44,scattered clouds,42.8,93.45,Laoyutang Resort
140,Waddan,LY,72.68,clear sky,29.1614,16.139,محل الشريف محمد العايب
141,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
144,Collingwood,CA,84.52,few clouds,44.4834,-80.2164,Comfort Inn & Suites
145,Sesquile,CO,63.27,broken clouds,5.0475,-73.8008,Casa Lila Hotel
146,Ribeira Grande,PT,61.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
147,Tabou,CI,76.12,overcast clouds,4.423,-7.3528,hotêl doufoulougou
149,Port-Gentil,GA,81.21,overcast clouds,-0.7193,8.7815,Fengshui Residence
152,Maravilha,BR,60.8,light rain,-26.7608,-53.1725,Maravilha Palace Hotel
153,Bontang,ID,77.05,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
154,Gerash,IR,82.54,clear sky,27.6652,54.1371,Sa'adat House Gerash
159,Florianopolis,BR,69.4,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
161,Yenagoa,NG,76.84,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
163,Georgetown,MY,82.35,few clouds,5.4112,100.3354,Cititel Penang
164,North Bend,US,64.24,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
169,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
171,Nantucket,US,73.54,fog,41.2835,-70.0995,Jared Coffin House
172,Currais Novos,BR,81.01,light rain,-6.2608,-36.5178,Sâmily Flat Hotel
173,Padang,ID,78.84,few clouds,-0.9492,100.3543,Mercure Padang
174,Bela Vista,BR,73.22,broken clouds,-22.1089,-56.5211,Bella Vista Palace Hotel
175,Eregli,TR,62.74,broken clouds,37.5133,34.0467,Hotel Fuat Bey
176,Port Blair,IN,83.08,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
180,Samarai,PG,81.16,clear sky,-10.6167,150.6667,Nuli Sapi
182,Muros,ES,63.46,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
183,Jacqueville,CI,80.98,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
185,Fortuna,US,66.92,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
186,Chimbote,PE,68.23,scattered clouds,-9.0853,-78.5783,Hotel Briliá
189,Luderitz,,61.3,few clouds,-26.6481,15.1594,LÜDERITZ NEST HOTEL
190,Brisbane,AU,73.04,overcast clouds,-27.4679,153.0281,Royal On The Park Brisbane
195,Saint Anthony,US,74.82,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
197,Hilton Head Island,US,84.31,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
198,Barreirinhas,BR,81.7,moderate rain,-2.7469,-42.8264,Gran Lençóis Flat Residence
202,Cotonou,BJ,84.18,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
207,Barcelona,ES,73.15,clear sky,41.3888,2.159,Axel Hotel Barcelona
208,Banjar,ID,78.31,broken clouds,-8.19,114.9675,The Hamsa Resort
209,Attingal,IN,74.88,moderate rain,8.6833,76.8333,Government Guest House
211,Gheorghe Lazar,RO,68.9,overcast clouds,44.6333,27.45,
221,Ilo,PE,68.86,scattered clouds,-17.6394,-71.3375,Torreblanca Hotel
222,Bouafle,CI,82.42,light rain,6.9904,-5.7442,Hotel Zaouli
225,Huai Mek,TH,84.61,overcast clouds,16.5898,103.2355,บ้านของกุ๊กกิ๊ก
226,Constantine,DZ,69.21,clear sky,36.365,6.6147,Grand Hotel Cirta
228,Daru,PG,77.63,overcast clouds,-9.0763,143.2092,Daru Lodge
230,Richards Bay,ZA,67.53,moderate rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
232,Isangel,VU,73.8,overcast clouds,-19.55,169.2667,Tanna Lodge
233,Nassau,US,72.91,moderate rain,40.7507,-73.5829,Hilton Garden Inn Westbury
234,Vila Franca Do Campo,PT,64.2,moderate rain,37.7167,-25.4333,Pestana Bahia Praia
235,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Pirineos
238,Aracati,BR,80.94,scattered clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
239,Calama,CL,72.09,clear sky,-22.4667,-68.9333,Park Hotel Calama
240,Odweyne,SO,81.93,overcast clouds,9.4092,45.064,Eng Hiirey House
242,Tiznit,MA,68.38,broken clouds,29.5833,-9.5,
245,Ponta Do Sol,PT,69.71,few clouds,32.6667,-17.1,Hotel do Campo
246,Suamico,US,84.97,clear sky,44.6319,-88.0393,"Country Inn & Suites by Radisson, Green Bay North, WI"
247,Langsa,ID,75.92,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
249,Cockburn Town,TC,79.25,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
250,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
251,Najran,SA,79.45,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
252,Gladstone,AU,67.93,mist,-23.85,151.25,Highpoint International Hotel
253,Guadalupe Y Calvo,MX,84.25,scattered clouds,26.1,-106.9667,Hotel Pizarro
254,Kupang,ID,77.09,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
258,Nanga Eboko,CM,71.4,scattered clouds,4.6833,12.3667,Motel Papi Palace
259,Katsuura,JP,63.0,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
260,Myitkyina,MM,73.02,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
262,Praia Da Vitoria,PT,62.85,scattered clouds,38.7333,-27.0667,Hotel Branco I
264,Atherton,GB,64.54,clear sky,53.5237,-2.4935,The Mercury Motel
267,Saint-Philippe,RE,71.19,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
269,Dingle,PH,77.09,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
270,Remedios,CU,74.32,heavy intensity rain,22.4947,-79.5458,Hostal Yunai
272,Ahuimanu,US,82.11,few clouds,21.4447,-157.8378,Paradise Bay Resort
274,Buenavista,PH,75.72,overcast clouds,8.9769,125.4089,Room For Rent
275,Cukai,MY,78.75,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
276,Havelock,US,78.98,broken clouds,34.8791,-76.9013,Sherwood Motel
279,Bulungu,CD,70.59,overcast clouds,-4.55,18.6,
280,Akyab,MM,83.44,broken clouds,20.15,92.9,Hotel Memory
281,Romitan,UZ,64.35,clear sky,39.9343,64.3814,Hotel Temur
282,Caucaia,BR,82.35,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
285,Kindu,CD,74.73,overcast clouds,-2.95,25.95,Résidence Okanda
286,Amiens,FR,61.79,broken clouds,49.9,2.3,Grand Hôtel de l'Univers
287,Yaan,NG,79.81,broken clouds,7.3833,8.5667,
288,Innisfail,AU,70.72,scattered clouds,-17.5333,146.0333,Moondarra Motel
291,Pisco,PE,68.02,haze,-13.7,-76.2167,Hotel San Isidro Oficial
295,Vila Praia De Ancora,PT,64.94,overcast clouds,41.811,-8.8526,Hotel Meira
298,Sayyan,YE,62.56,clear sky,15.1718,44.3244,ملاطف ابوحورية
301,Eyl,SO,82.89,clear sky,7.9803,49.8164,Amiin Hotel
302,Fredericton,CA,77.85,few clouds,45.9454,-66.6656,"Crowne Plaza Fredericton-Lord Beaverbrook, an IHG Hotel"
304,Guerrero Negro,MX,78.01,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
305,Beloha,MG,66.49,clear sky,-25.1667,45.05,
306,Russell,US,84.06,clear sky,32.3502,-85.1999,Macs
308,Cap Malheureux,MU,72.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
312,Valparaiso,CL,68.23,broken clouds,-33.0393,-71.6273,Hotel Ultramar
314,Point Pleasant,US,68.27,light rain,40.0832,-74.0682,Point Pleasant Manor
315,Sabang,ID,83.25,moderate rain,5.8933,95.3214,Hotel Citra
317,Martapura,ID,75.29,light rain,-3.4167,114.85,Montana Hotel Syariah
320,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
321,Yulara,AU,62.67,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
323,Bud,US,78.82,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
326,Huarmey,PE,70.34,few clouds,-10.0681,-78.1522,Hotel Miramar
327,Maningrida,AU,73.99,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
330,Pacific Grove,US,77.23,few clouds,36.6177,-121.9166,Lovers Point Inn
333,Nouadhibou,MR,75.18,broken clouds,20.931,-17.0347,El Medina
334,Tibati,CM,67.5,few clouds,6.4667,12.6333,Tibati Hotel
335,Teluk Intan,MY,82.42,moderate rain,4.0259,101.0213,Angsoka Hotel Teluk Intan
336,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
338,Road Town,VG,84.24,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
340,Chuy,UY,62.1,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
341,Mangrol,IN,82.94,clear sky,21.1167,70.1167,Hotel The Royal Honours
343,Los Llanos De Aridane,ES,65.95,scattered clouds,28.6585,-17.9182,Valle Aridane
345,Mithi,PK,84.56,clear sky,24.7318,69.7981,Ashiyana guest house
346,Warrington,GB,65.12,few clouds,53.3925,-2.5802,Villaggio Hotel
349,Cerreto Guidi,IT,65.75,clear sky,43.7607,10.8761,Agriturismo Streda - wine&country holiday
350,Pirgos,GR,65.62,clear sky,35.1167,25.7178,Elpida Village
352,Liwale,TZ,72.07,overcast clouds,-9.7667,37.9333,Nakivubo Executive Lodge
353,Grand-Santi,GF,82.71,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
354,Ballina,AU,68.77,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
355,Touros,BR,80.55,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
360,Moose Factory,CA,77.0,clear sky,51.2585,-80.6094,Moosonee Lilypad
364,Lubango,AO,61.74,scattered clouds,-14.9172,13.4925,Hotel Serra da Chela
366,Sabha,LY,72.48,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
368,Castelldefels,ES,71.98,clear sky,41.2779,1.9703,Aparthotel Solifemar
369,Layou,VC,78.19,scattered clouds,13.2,-61.2667,Compton's Bed-&-Breakfast & Anchorage
371,Acarau,BR,80.67,overcast clouds,-2.8856,-40.12,castelo pizzaria
372,Abong Mbang,CM,69.39,clear sky,3.9833,13.1833,Auberge Angle Sur
373,Takoradi,GH,80.37,light rain,4.8845,-1.7554,Raybow International Hotel
374,Hilo,US,81.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
375,Huambo,AO,64.04,broken clouds,-12.7761,15.7392,SiSHotel
378,Kudahuvadhoo,MV,83.48,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
381,Taitung,TW,76.64,light rain,22.7583,121.1444,Taitung Bali Suites Hotel
382,Bagacay,PH,81.34,light rain,12.9821,124.1415,Amigo's Garden
390,Maceio,BR,78.24,overcast clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
391,Outjo,,62.53,clear sky,-20.1167,16.15,Kai-Oms Backpackers Lodge
392,Kaoma,ZM,62.06,few clouds,-14.7833,24.8,KAOMA AIRPORT
395,Tabat,ID,75.15,overcast clouds,-2.635,115.2274,
396,Impfondo,CG,70.88,light rain,1.6381,18.0667,Auberge La Place de Jules
397,Margherita,IN,72.32,overcast clouds,27.2833,95.6833,Dehing Guest House
398,Coos Bay,US,64.31,overcast clouds,43.3665,-124.2179,Best Western Holiday Hotel
400,Puerto Leguizamo,CO,77.86,overcast clouds,-0.1934,-74.7819,la casona de juancho
401,Ouadda,CF,67.73,moderate rain,8.0777,22.4007,
402,Faya,SA,69.91,clear sky,18.3851,42.4509,املاك خالد الشعشوع
403,Port Lincoln,AU,60.98,few clouds,-34.7333,135.8667,Port Lincoln Hotel
405,Kalemie,CD,71.49,few clouds,-5.9475,29.1947,Mahobilali
407,Labuhan,ID,79.97,moderate rain,-6.8844,112.2051,DoubleFAG
410,Tocopilla,CL,68.76,few clouds,-22.092,-70.1979,Hotel Galvarino
411,Fernley,US,80.71,scattered clouds,39.608,-119.2518,Super 8 by Wyndham Fernley
413,Ambilobe,MG,69.42,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
417,Alyangula,AU,74.23,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
418,Havre-Saint-Pierre,CA,66.56,clear sky,50.2334,-63.5986,Auberge Niapiskau
